verb_lemma	verb_freq	P(verb)	caus_freq	P(CAUS)	expected_P(CAUS^verb)	actual_P(CAUS^verb)	log_odds_ratio
ol	725240	0.152	25.0	0.064	0.009728	3.44713474160278e-05	5.643
i	88483	0.019	1e-10	0.064	0.001216	1.1301605958206661e-15	27.704
kullan	84770	0.018	59.0	0.064	0.001152	0.0006960009437300932	0.504
gel	73048	0.015	1e-10	0.064	0.00096	1.3689628737268646e-15	27.276
gör	49930	0.01	13.0	0.064	0.00064	0.0002603645103144402	0.899
kal	49000	0.01	1.0	0.064	0.00064	2.0408163265306123e-05	3.446
göster	41322	0.009	1e-10	0.064	0.000576	2.42001839213978e-15	26.196
gir	39841	0.008	7.0	0.064	0.000512	0.00017569840114454958	1.07
geç	38235	0.008	1e-10	0.064	0.000512	2.6154047338825685e-15	26.0
sağla	32742	0.007	5.0	0.064	0.000448	0.00015270905870136216	1.076
kat	32003	0.007	1e-10	0.064	0.000448	3.1247070587132456e-15	25.689
git	26060	0.005	1e-10	0.064	0.00032	3.837298541826554e-15	25.147
alın	23766	0.005	1e-10	0.064	0.00032	4.2076916603551294e-15	25.055
iste	22072	0.005	6.0	0.064	0.00032	0.00027183762232693004	0.163
açıkla	15327	0.003	1e-10	0.064	0.000192	6.524434005350036e-15	24.105
doğ	14134	0.003	1.0	0.064	0.000192	7.075137965190322e-05	0.998
düş	13880	0.003	1e-10	0.064	0.000192	7.204610951008645e-15	24.006
savun	13578	0.003	1e-10	0.064	0.000192	7.364854912358227e-15	23.984
içer	12414	0.003	1e-10	0.064	0.000192	8.055421298533913e-15	23.894
tanımla	10867	0.002	1.0	0.064	0.000128	9.202171712524156e-05	0.33
belirle	10707	0.002	1e-10	0.064	0.000128	9.339684318670029e-15	23.341
koru	10293	0.002	1.0	0.064	0.000128	9.71534052268532e-05	0.276
bitir	10277	0.002	1.0	0.064	0.000128	9.730466089325679e-05	0.274
yen(II)	10059	0.002	1e-10	0.064	0.000128	9.941346058256288e-15	23.279
başar	9065	0.002	1e-10	0.064	0.000128	1.1031439602868175e-14	23.175
anlaş	8472	0.002	1e-10	0.064	0.000128	1.1803588290840416e-14	23.107
an	8205	0.002	1e-10	0.064	0.000128	1.218769043266301e-14	23.075
duy	8131	0.002	1e-10	0.064	0.000128	1.2298610257040956e-14	23.066
destekle	7341	0.002	1e-10	0.064	0.000128	1.3622122326658493e-14	22.964
öğren	7170	0.002	1e-10	0.064	0.000128	1.394700139470014e-14	22.94
kaç	7050	0.001	1e-10	0.064	6.4e-05	1.4184397163120568e-14	22.23
kurtul	6588	0.001	1e-10	0.064	6.4e-05	1.5179113539769277e-14	22.162
görün	5969	0.001	1e-10	0.064	6.4e-05	1.6753224995811696e-14	22.064
kuşat	5082	0.001	1e-10	0.064	6.4e-05	1.967729240456513e-14	21.903
sergile	5031	0.001	1e-10	0.064	6.4e-05	1.9876764062810574e-14	21.893
planla	4837	0.001	1e-10	0.064	6.4e-05	2.0673971469919374e-14	21.853
besle	4767	0.001	1e-10	0.064	6.4e-05	2.0977554017201596e-14	21.839
uç	4567	0.001	1e-10	0.064	6.4e-05	2.189621195533173e-14	21.796
kapsa	4514	0.001	1e-10	0.064	6.4e-05	2.215330084182543e-14	21.784
sırala	4294	0.001	1e-10	0.064	6.4e-05	2.328830926874709e-14	21.734
anla	3911	0.001	1e-10	0.064	6.4e-05	2.5568908207619534e-14	21.641
ak	3391	0.001	1e-10	0.064	6.4e-05	2.9489826010026544e-14	21.498
öner	3294	0.001	1e-10	0.064	6.4e-05	3.0358227079538554e-14	21.469
çevril	3264	0.001	1e-10	0.064	6.4e-05	3.063725490196079e-14	21.46
dağıl	3212	0.001	1e-10	0.064	6.4e-05	3.1133250311332505e-14	21.444
kalk	3103	0.001	1e-10	0.064	6.4e-05	3.222687721559781e-14	21.409
diren	3050	0.001	1e-10	0.064	6.4e-05	3.278688524590164e-14	21.392
yitir	2887	0.001	1e-10	0.064	6.4e-05	3.4638032559750605e-14	21.337
suçla	2774	0.001	1e-10	0.064	6.4e-05	3.6049026676279745e-14	21.297
san	2669	0.001	1e-10	0.064	6.4e-05	3.746721618583739e-14	21.259
önle	2631	0.001	1e-10	0.064	6.4e-05	3.8008361839604716e-14	21.244
yarala	2582	0.001	1e-10	0.064	6.4e-05	3.872966692486445e-14	21.226
